Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
August,Monsoon,Medium,30,Rainy,Family Trip,3,Kodaikanal
June,Monsoon,Medium,21,Rainy,Family Trip,6,Leh & Ladakh
January,Winter,Medium,10,Cold,Adventure,1,"Valley of Flowers, Uttarakhand"
October,Autumn,High,17,Mild,Cultural,10,Tawang
July,Monsoon,Low,25,Rainy,Family Trip,9,"Bhushi Dam, Lonavala"
April,Spring,Low,27,Pleasant,Eco Tourism,7,Udaipur
June,Monsoon,High,30,Rainy,Family Trip,5,Mussoorie
December,Winter,Low,7,Cold,Adventure,4,"Bhushi Dam, Lonavala"
August,Monsoon,Low,23,Rainy,Family Trip,8,Udaipur
October,Autumn,Medium,18,Mild,Cultural,7,"Tsomgo Lake, Sikkim"
August,Monsoon,Low,27,Rainy,Family Trip,2,"Sunset Viewpoint, Agumbe"
July,Monsoon,Medium,29,Rainy,Family Trip,10,Munnar
February,Winter,Low,2,Cold,Adventure,3,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,Low,23,Mild,Cultural,9,"Rann of Kutch, Gujarat"
February,Winter,Medium,14,Cold,Adventure,5,Jaisalmer
April,Spring,Low,18,Pleasant,Eco Tourism,8,Gulmarg
May,Summer,Medium,34,Hot,Adventure,6,"Darjeeling, Kalimpong - West Bengal"
October,Autumn,Low,21,Mild,Cultural,2,Wayanad
June,Monsoon,High,24,Rainy,Family Trip,2,"Bhushi Dam, Lonavala"
November,Autumn,Low,16,Mild,Cultural,6,Udaipur
February,Winter,High,-4,Cold,Adventure,5,"Hampi, Karnataka"
October,Autumn,High,23,Mild,Cultural,2,Gangtok
May,Summer,Low,36,Hot,Adventure,8,"Tsomgo Lake, Sikkim"
July,Monsoon,High,21,Rainy,Family Trip,1,Udaipur
October,Autumn,Medium,20,Mild,Cultural,3,"Kullu-Manali, Himachal Pradesh"
January,Winter,Low,-5,Cold,Adventure,2,Udaipur
September,Autumn,High,22,Mild,Cultural,6,Rann of Kutch
March,Spring,Low,17,Pleasant,Eco Tourism,10,Wayanad
February,Winter,Low,8,Cold,Adventure,10,Kumili
November,Autumn,Low,21,Mild,Cultural,3,"Mahabaleshwar, Maharashtra"
May,Summer,High,35,Hot,Adventure,4,"Wayanad, Alleppey - Kerala"
June,Monsoon,Low,20,Rainy,Family Trip,4,"Wayanad, Kerala"
April,Spring,Low,16,Pleasant,Eco Tourism,7,Shillong
July,Monsoon,Low,29,Rainy,Family Trip,5,Munnar
September,Autumn,Medium,21,Mild,Cultural,9,Shillong
September,Autumn,Low,22,Mild,Cultural,6,Rishikesh
June,Monsoon,High,28,Rainy,Family Trip,3,Coorg
November,Autumn,Medium,23,Mild,Cultural,1,"Wayanad, Alleppey - Kerala"
February,Winter,Low,-3,Cold,Adventure,8,Shimla
December,Winter,Low,15,Cold,Adventure,9,Goa
November,Autumn,High,22,Mild,Cultural,8,Jammu-Kashmir
June,Monsoon,Medium,20,Rainy,Family Trip,2,"Ooty, Tamil Nadu"
September,Autumn,Medium,18,Mild,Cultural,10,Kumili
March,Spring,Low,15,Pleasant,Eco Tourism,6,"Sunset Viewpoint, Agumbe"
March,Spring,Medium,17,Pleasant,Eco Tourism,6,"Hampi, Karnataka"
December,Winter,Low,14,Cold,Adventure,10,"Wayanad, Alleppey - Kerala"
March,Spring,High,29,Pleasant,Eco Tourism,7,"Abbey Falls, Coorg"
March,Spring,High,22,Pleasant,Eco Tourism,3,"Abbey Falls, Coorg"
February,Winter,High,3,Cold,Adventure,2,Jaisalmer
January,Winter,High,-1,Cold,Adventure,2,"Ooty, Tamil Nadu"
July,Monsoon,High,20,Rainy,Family Trip,8,Wayanad
December,Winter,Medium,-3,Cold,Adventure,8,"Amber Palace, Jaipur"
March,Spring,Medium,16,Pleasant,Eco Tourism,2,"Pushkar, Rajasthan"
December,Winter,Medium,14,Cold,Adventure,9,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
March,Spring,Low,26,Pleasant,Eco Tourism,6,"Ooty, Tamil Nadu"
August,Monsoon,High,21,Rainy,Family Trip,2,"Manali and Kullu, Himachal Pradesh"
February,Winter,Low,1,Cold,Adventure,7,"Elephant Falls, Shillong"
April,Spring,Low,30,Pleasant,Eco Tourism,9,"Nohkalikai Falls, Cherrapunji"
January,Winter,Low,-3,Cold,Adventure,5,Gulmarg
October,Autumn,Low,18,Mild,Cultural,10,Kumili
August,Monsoon,Low,26,Rainy,Family Trip,1,"Nilgiris Tiger Reserves, Karnataka"
May,Summer,Medium,26,Hot,Adventure,5,Rann of Kutch
February,Winter,Medium,1,Cold,Adventure,10,"Ooty, Tamil Nadu"
June,Monsoon,High,22,Rainy,Family Trip,2,"Palolem Beach, Goa"
June,Monsoon,High,25,Rainy,Family Trip,5,"Bhushi Dam, Lonavala"
July,Monsoon,Medium,20,Rainy,Family Trip,3,Leh & Ladakh
September,Autumn,Medium,21,Mild,Cultural,2,"Nilgiris Tiger Reserves, Karnataka"
November,Autumn,Low,24,Mild,Cultural,9,"Valley of Flowers, Uttarakhand"
February,Winter,Medium,14,Cold,Adventure,9,Goa
February,Winter,Medium,10,Cold,Adventure,5,"Tsomgo Lake, Sikkim"
February,Winter,Low,2,Cold,Adventure,3,Shillong
February,Winter,Medium,13,Cold,Adventure,5,"Bhushi Dam, Lonavala"
December,Winter,Low,13,Cold,Adventure,10,"Ooty, Tamil Nadu"
February,Winter,High,11,Cold,Adventure,10,"Tsomgo Lake, Sikkim"
May,Summer,Medium,26,Hot,Adventure,4,Rishikesh
May,Summer,Medium,39,Hot,Adventure,10,Munnar
November,Autumn,Low,25,Mild,Cultural,7,"Nilgiris Tiger Reserves, Karnataka"
February,Winter,Medium,-5,Cold,Adventure,9,Jaisalmer
February,Winter,Low,0,Cold,Adventure,9,Tawang
January,Winter,High,15,Cold,Adventure,4,Rann of Kutch
July,Monsoon,High,21,Rainy,Family Trip,2,"Pushkar, Rajasthan"
September,Autumn,High,15,Mild,Cultural,4,Udaipur
February,Winter,High,6,Cold,Adventure,10,"Pushkar, Rajasthan"
October,Autumn,Low,15,Mild,Cultural,1,"Darjeeling, West Bengal"
May,Summer,Low,36,Hot,Adventure,3,Rann of Kutch
June,Monsoon,Medium,23,Rainy,Family Trip,3,Udaipur
October,Autumn,Medium,22,Mild,Cultural,8,"Amber Palace, Jaipur"
May,Summer,High,36,Hot,Adventure,1,Rishikesh
September,Autumn,Medium,17,Mild,Cultural,4,Dalhousie
February,Winter,Medium,10,Cold,Adventure,5,"Ooty, Tamil Nadu"
December,Winter,Medium,3,Cold,Adventure,9,Auli
July,Monsoon,Low,27,Rainy,Family Trip,3,"Nilgiris Tiger Reserves, Karnataka"
July,Monsoon,Medium,30,Rainy,Family Trip,5,Rishikesh
July,Monsoon,Medium,23,Rainy,Family Trip,9,Shimla
June,Monsoon,High,27,Rainy,Family Trip,6,"Sunset Viewpoint, Agumbe"
February,Winter,Low,-2,Cold,Adventure,3,"Bhushi Dam, Lonavala"
June,Monsoon,Medium,27,Rainy,Family Trip,7,Auli
April,Spring,Medium,23,Pleasant,Eco Tourism,8,"Tsomgo Lake, Sikkim"
November,Autumn,Low,20,Mild,Cultural,2,Darjeeling
April,Spring,Medium,16,Pleasant,Eco Tourism,10,Coorg
November,Autumn,High,20,Mild,Cultural,9,Wayanad
November,Autumn,Medium,24,Mild,Cultural,2,"Pushkar, Rajasthan"
December,Winter,Medium,12,Cold,Adventure,6,Udaipur
February,Winter,High,-2,Cold,Adventure,3,"Tsomgo Lake, Sikkim"
November,Autumn,Low,21,Mild,Cultural,2,Kodaikanal
January,Winter,Medium,-3,Cold,Adventure,9,Kumili
November,Autumn,High,16,Mild,Cultural,7,"Nilgiris Tiger Reserves, Karnataka"
July,Monsoon,High,21,Rainy,Family Trip,4,Auli
September,Autumn,High,25,Mild,Cultural,10,Udaipur
January,Winter,Low,13,Cold,Adventure,3,Idukki
May,Summer,High,38,Hot,Adventure,1,Idukki
February,Winter,Low,10,Cold,Adventure,3,"Darjeeling, Kalimpong - West Bengal"
October,Autumn,Medium,21,Mild,Cultural,7,"Palolem Beach, Goa"
September,Autumn,High,18,Mild,Cultural,6,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Medium,21,Rainy,Family Trip,1,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,Medium,26,Rainy,Family Trip,3,"Darjeeling, Kalimpong - West Bengal"
July,Monsoon,Medium,29,Rainy,Family Trip,2,Udaipur
February,Winter,High,2,Cold,Adventure,3,"Pushkar, Rajasthan"
January,Winter,High,6,Cold,Adventure,8,Udaipur
May,Summer,High,31,Hot,Adventure,2,Darjeeling
September,Autumn,Medium,21,Mild,Cultural,3,Udaipur
April,Spring,Low,27,Pleasant,Eco Tourism,2,"Tsomgo Lake, Sikkim"
December,Winter,Medium,5,Cold,Adventure,7,"Rann of Kutch, Gujarat"
December,Winter,Medium,-2,Cold,Adventure,10,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
December,Winter,Low,-3,Cold,Adventure,1,"Bhushi Dam, Lonavala"
March,Spring,Low,17,Pleasant,Eco Tourism,6,Ooty
September,Autumn,Low,25,Mild,Cultural,10,"Elephant Falls, Shillong"
July,Monsoon,High,22,Rainy,Family Trip,9,Rishikesh
May,Summer,Low,27,Hot,Adventure,3,Munnar
August,Monsoon,Low,26,Rainy,Family Trip,5,"Pillar Rocks, Kodaikanal"
December,Winter,Medium,-1,Cold,Adventure,10,Leh & Ladakh
November,Autumn,Low,23,Mild,Cultural,5,Tawang
October,Autumn,Medium,22,Mild,Cultural,5,"Elephant Falls, Shillong"
June,Monsoon,Medium,21,Rainy,Family Trip,2,Rishikesh
September,Autumn,High,20,Mild,Cultural,8,Darjeeling
November,Autumn,Medium,24,Mild,Cultural,8,"Pillar Rocks, Kodaikanal"
December,Winter,Low,15,Cold,Adventure,3,"Bhushi Dam, Lonavala"
May,Summer,High,30,Hot,Adventure,7,Munnar
June,Monsoon,High,26,Rainy,Family Trip,4,"Abbey Falls, Coorg"
July,Monsoon,Low,24,Rainy,Family Trip,10,"Tsomgo Lake, Sikkim"
June,Monsoon,Medium,25,Rainy,Family Trip,8,Udaipur
